"","SiteID","Agriophyllum squarrosum","Alhagi sparsifolia","Amaranthus retroflexus","Androsace umbellata","Artemisia argyi","Artemisia capillaris","Artemisia pubescens","Artemisia scoparia","Astragalus adsurgens","Astragalus galactites","Astragalus melilotoides","Astragalus scaberrimus","Axyris amaranthoides","Bassia dasyphylla","Bassia prostrata","Bupleurum scorzonerifolium","Calystegia sepium","Cannabis sativa","Caragana microphylla","Caragana stenophylla","Cardamine hirsuta","Carex korshinskyi","Carex pediformis","Carex stenocarpa","Chamaerhodos erecta","Chenopodium acuminatum","Chenopodium glaucum","Chloris virgata","Cirsium arvense","Cleistogenes songorica","Cleistogenes squarrosa","Convolvulus ammannii","Cymbaria daurica","Cymbaria mongolica","Cynanchum thesioides","Digitaria ischaemum","Digitaria sanguinalis","Dontostemon dentatus","Dysphania aristata","Echinochloa crus-galli","Eragrostis pilosa","Erodium stephanianum","Galium verum","Gentiana scabra","Gentiana squarrosa","Geranium wilfordii","Glycyrrhiza uralensis","Gueldenstaedtia verna","Haplophyllum dauricum","Heteropappus altaicus","Ixeris polycephala","Kalimeris hispida","Lappula myosotis","Leonurus japonicus","Lepidium apetalum","Lespedeza bicolor","Lespedeza potaninii","Linaria vulgaris","Medicago falcata","Medicago ruthenica","Nepeta cataria","Nepeta tenuifolia","Nitraria tangutorum","Oxytropis aciphylla","Oxytropis alpina","Oxytropis fetissovii","Oxytropis leptophylla","Parthenocissus tricuspidata","Peganum harmala","Pennisetum glaucum","Phragmites australis","Plantago asiatica","Poa annua","Portulaca oleracea","Potentilla acaulis","Potentilla anserina","Potentilla chinensis","Potentilla multifida","Potentilla tanacetifolia","Potentilla verticillaris","Reaumuria soongarica","Rumex acetosella","Salsola collina","Salsola passerina","Sanguisorba officinalis","Saposhnikovia divaricata","Scutellaria baicalensis","Scutellaria ovata","Serratula centauroides","Setaria viridis","Sibbaldia procumbens","Sibbaldianthe bifurca","Silene conoidea","Sphallerocarpus gracilis","Stellaria media","Stellera chamaejasme","Stipa breviflora","Stipa grandis","Stipa krylovii","Stipa purpurea","Stipa sibirica","Stipa tianschanica","Suaeda glauca","Suaeda maritima","Taraxacum mongolicum","Thalictrum aquilegiifolium","Thalictrum petaloideum","Thalictrum squarrosum","Thermopsis lanceolata","Thymus mongolicus","Trachydium tianshanicum","Tribulus terrestris","Trifolium lupinaster","Urtica fissa","Veronica polita","Xanthium strumarium","Zygophyllum xanthoxylon","NA"
"21","34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328571428571429,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.06,0.59,0.35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,40.31,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0
"22","35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0,1.255,4.825,0,0,0,0,0,0,0,0,0.633333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,10.52,0,0.73,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,6.092,0,0,0,2.4,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9175,0,0.2,0,0,0,0,0,0,0,0,3.69333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,1.575,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,21.481,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.55,0
"24","37",33.7333333333333,0,0,0,0,0,0,22.2844444444444,0,0,0,0,0,0.4,1.25,0,0,0,0,9.35,0,1.54,0,0,0,0,0,0,0,0,7.059,0,0,0,0,0,0,1.48,0,0,0.05,0,0,0,0,0,0,0,7.575,2.805,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1766666666667,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,31.225,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","38",2.355,0,0,0,0,0,0,0.68,0,0,0,0,0,0.73,1.04666666666667,0,0,0,0,0,0,0.686,0,0,0,0,0,0.25,0,0,2.77666666666667,0.53,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,1.7075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13428571428571,0,0,0,0,0,0,1.355,0,0,0,0,0,0,0,0,14.084,0,0,0,2.424,2.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","39",4.99666666666667,0,0,0.35,0,0,0,2.03,0,0,0,0,0,0,7.185,0,0,0,0,0,0,0,0,0,0,0,0,5.735,0,0,3.50166666666667,3.7525,0,0,0,0,0,0,0,0,4.51,0,0.19,0,0,0,0,0,0,0,0,7.81666666666667,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,0,5.16,2.66333333333333,0,0,0,0,0,4.14428571428571,1.28,0,0,0,0,0,0,0,11.2616666666667,0,0,0,1.01,7.73,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0
"27","40",0,0,0,0.8,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,13.23,0,2.12875,0,0,0,0,15,0,0,0,5.621,0,0,0,0,0,0,0,0,0,2.366,0,0,0,0,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9422222222222,0,0,0,0,0,0,0.83,0,0,0,0.27,0,0,0,0,7.382,0,0,0,0,0,0,0,0,0,0,0,0,9.31888888888889,0,0,0,0,0,0
"28","41",0,0,0,0.725,0.64,0,0,13.9633333333333,0,0,0,0,0,1.69,13.7183333333333,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,7.735,8.06,0,0,0,0,0,0,10.76,0,7.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9011111111111,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,132.05,13.3933333333333,0,0,0,0,0,0,0,0,0,0,0,0,4.994,0,0,0,0,0,0
"29","42",5.29,0,0,1.866,0,0,0,4.245,0,0,0,0.36,0,0.07,0.84,0,1.07,0,0,9.67,0,29.41875,0,0,0,0,0,0,0,3.9,5.06555555555556,1.48666666666667,0,0,0,0,0,0,0,0,1.785,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.635,0,0,0,0,0,0,2.55444444444444,0,0,0,0,0,0,0,12.81,12.46,0,0,0,0,0,0,0,0,0,0,0,0,1.148,0,0,0,0,0,0
"30","43",0.3,0,0,0,0,0,0,2.658,0,0,0,0,0,2.65,3.67,0,1.96,0,0,4.26,0,1.83714285714286,0,0,0,0.79,2.026,0,0,7.155,3.989,8.18,0,0,0,0,0,0,0.3325,0,2.275,0,0,0,0,0,0,0.25,3.145,1.07,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.67,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.981,0,0,0,0,0,0,1.961,0,0,0,0,0,0,0,19.384,0,0,0,0,0,0,0,0,0,0,0,0,0,1.565,0,0,0,0,0,0
